시군구   ,읍면동,차종,계,비사업용_소계,비사업용_경형,비사업용_소형,비사업용_중형,비사업용_대형,사업용_소계,사업용_경형,사업용_소형,사업용_중형,사업용_대형,데이터기준일자
중원구,성남동,승합,349,331,39,32,254,6,18,0,0,5,13,2024-03-31
중원구,성남동,화물,1766,1353,50,1105,146,52,413,4,107,67,235,2024-03-31
중원구,성남동,특수,46,22,0,20,1,1,24,0,7,8,9,2024-03-31
중원구,금광동,승용,12748,12566,1214,158,8175,3019,182,0,0,140,42,2024-03-31
중원구,금광동,승합,406,397,24,30,338,5,9,0,0,1,8,2024-03-31
중원구,금광동,화물,1442,1202,42,1047,100,13,240,11,171,38,20,2024-03-31
중원구,금광동,특수,51,30,0,30,0,0,21,0,6,14,1,2024-03-31
중원구,은행동,승용,8053,7934,949,141,5003,1841,119,0,0,103,16,2024-03-31
중원구,은행동,승합,231,230,16,10,204,0,1,0,0,1,0,2024-03-31
중원구,은행동,화물,1170,980,37,860,68,15,190,9,137,32,12,2024-03-31
중원구,은행동,특수,26,15,0,14,1,0,11,0,4,6,1,2024-03-31
중원구,상대원동,승용,14005,13587,1599,275,7773,3940,418,9,0,347,62,2024-03-31
중원구,상대원동,승합,832,651,42,48,535,26,181,0,0,41,140,2024-03-31
중원구,상대원동,화물,3251,2874,69,2511,234,60,377,9,229,74,65,2024-03-31
중원구,상대원동,특수,95,61,0,55,5,1,34,0,18,15,1,2024-03-31
중원구,여수동,승용,4289,4069,282,28,2520,1239,220,2,0,99,119,2024-03-31
중원구,여수동,승합,122,69,5,0,62,2,53,0,0,40,13,2024-03-31
중원구,여수동,화물,349,307,8,243,30,26,42,1,35,3,3,2024-03-31
중원구,여수동,특수,17,14,0,14,0,0,3,0,0,2,1,2024-03-31
중원구,도촌동,승용,5154,4951,498,48,3040,1365,203,2,0,146,55,2024-03-31
중원구,도촌동,승합,130,130,11,6,112,1,0,0,0,0,0,2024-03-31
중원구,도촌동,화물,566,492,13,436,35,8,74,4,51,13,6,2024-03-31
중원구,도촌동,특수,23,8,0,8,0,0,15,0,6,7,2,2024-03-31
중원구,갈현동,승용,303,300,42,6,171,81,3,0,0,3,0,2024-03-31
중원구,갈현동,승합,19,17,2,0,15,0,2,0,0,2,0,2024-03-31
중원구,갈현동,화물,115,110,5,81,20,4,5,0,3,2,0,2024-03-31
중원구,갈현동,특수,4,2,0,2,0,0,2,0,1,1,0,2024-03-31
중원구,하대원동,승용,7016,6355,616,85,3856,1798,661,0,0,621,40,2024-03-31
중원구,하대원동,승합,246,246,20,11,214,1,0,0,0,0,0,2024-03-31
중원구,하대원동,화물,1366,1191,54,890,152,95,175,5,115,34,21,2024-03-31
중원구,하대원동,특수,48,24,0,18,2,4,24,0,10,9,5,2024-03-31
중원구,중앙동,승용,5223,5177,463,72,3205,1437,46,0,0,36,10,2024-03-31
중원구,중앙동,승합,169,169,9,20,124,16,0,0,0,0,0,2024-03-31
중원구,중앙동,화물,565,469,19,413,30,7,96,8,62,15,11,2024-03-31
중원구,중앙동,특수,20,13,0,13,0,0,7,0,2,5,0,2024-03-31
분당구,분당동,승용,9385,9373,534,73,5296,3470,12,0,0,11,1,2024-03-31
분당구,분당동,승합,182,126,12,5,106,3,56,0,0,0,56,2024-03-31
분당구,분당동,화물,359,319,5,284,28,2,40,1,26,11,2,2024-03-31
분당구,분당동,특수,17,13,0,12,0,1,4,0,1,1,2,2024-03-31
분당구,수내동,승용,16201,16175,633,94,8704,6744,26,0,0,13,13,2024-03-31
분당구,수내동,승합,228,228,9,2,194,23,0,0,0,0,0,2024-03-31
분당구,수내동,화물,868,669,21,558,69,21,199,3,67,34,95,2024-03-31
분당구,수내동,특수,69,26,0,23,2,1,43,0,2,0,41,2024-03-31
분당구,정자동,승용,28825,28124,1055,204,15605,11260,701,70,0,509,122,2024-03-31
분당구,정자동,승합,361,334,19,5,283,27,27,0,0,27,0,2024-03-31
분당구,정자동,화물,1067,868,39,727,85,17,199,5,57,45,92,2024-03-31
분당구,정자동,특수,94,84,0,51,11,22,10,0,3,2,5,2024-03-31
분당구,율동,승용,469,468,43,3,283,139,1,0,0,1,0,2024-03-31
분당구,율동,승합,10,10,0,0,10,0,0,0,0,0,0,2024-03-31
분당구,율동,화물,43,42,0,42,0,0,1,0,1,0,0,2024-03-31
분당구,율동,특수,2,2,0,2,0,0,0,0,0,0,0,2024-03-31
분당구,서현동,승용,19114,18324,755,107,10409,7053,790,28,0,500,262,2024-03-31
분당구,서현동,승합,258,215,14,6,188,7,43,0,0,20,23,2024-03-31
분당구,서현동,화물,1006,756,31,612,81,32,250,1,39,127,83,2024-03-31
분당구,서현동,특수,55,33,0,21,2,10,22,0,15,3,4,2024-03-31
분당구,이매동,승용,14218,14186,611,78,8010,5487,32,2,0,19,11,2024-03-31
분당구,이매동,승합,221,207,13,2,187,5,14,0,0,0,14,2024-03-31
분당구,이매동,화물,490,442,17,363,35,27,48,4,31,7,6,2024-03-31
분당구,이매동,특수,44,20,0,20,0,0,24,0,14,3,7,2024-03-31
분당구,야탑동,승용,22768,21472,1331,179,12749,7213,1296,5,0,1132,159,2024-03-31
분당구,야탑동,승합,1147,446,30,9,402,5,701,0,0,13,688,2024-03-31
분당구,야탑동,화물,1956,1540,47,1292,147,54,416,8,140,68,200,2024-03-31
분당구,야탑동,특수,130,48,0,36,11,1,82,0,13,10,59,2024-03-31
분당구,판교동,승용,8946,8941,311,54,5090,3486,5,0,0,3,2,2024-03-31
분당구,판교동,승합,86,86,15,4,61,6,0,0,0,0,0,2024-03-31
분당구,판교동,화물,216,205,6,160,34,5,11,2,4,1,4,2024-03-31
분당구,판교동,특수,23,22,0,19,2,1,1,0,0,0,1,2024-03-31
분당구,삼평동,승용,9621,9582,439,81,5364,3698,39,0,0,33,6,2024-03-31
분당구,삼평동,승합,174,174,17,2,150,5,0,0,0,0,0,2024-03-31
분당구,삼평동,화물,738,645,23,559,52,11,93,4,51,4,34,2024-03-31
분당구,삼평동,특수,22,16,0,13,3,0,6,0,2,4,0,2024-03-31
분당구,백현동,승용,11876,10923,569,57,6096,4201,953,25,0,846,82,2024-03-31
분당구,백현동,승합,176,171,14,9,141,7,5,1,0,4,0,2024-03-31
분당구,백현동,화물,512,445,14,377,38,16,67,0,46,16,5,2024-03-31
분당구,백현동,특수,30,24,0,23,1,0,6,0,3,3,0,2024-03-31
분당구,금곡동,승용,9244,8962,367,51,5106,3438,282,2,0,204,76,2024-03-31
분당구,금곡동,승합,125,99,9,3,86,1,26,0,0,6,20,2024-03-31
분당구,금곡동,화물,795,350,7,303,33,7,445,1,67,160,217,2024-03-31
분당구,금곡동,특수,8,8,0,8,0,0,0,0,0,0,0,2024-03-31
분당구,궁내동,승용,1332,1201,85,11,719,386,131,2,0,62,67,2024-03-31
분당구,궁내동,승합,99,29,2,1,26,0,70,1,0,44,25,2024-03-31
분당구,궁내동,화물,155,143,4,115,18,6,12,1,9,1,1,2024-03-31
분당구,궁내동,특수,2,1,0,0,1,0,1,0,1,0,0,2024-03-31
분당구,동원동,승용,306,306,28,4,184,90,0,0,0,0,0,2024-03-31
분당구,동원동,승합,16,16,1,0,15,0,0,0,0,0,0,2024-03-31
분당구,동원동,화물,100,98,2,63,28,5,2,0,1,1,0,2024-03-31
분당구,동원동,특수,7,4,0,4,0,0,3,0,3,0,0,2024-03-31
분당구,구미동,승용,16725,16522,806,146,9640,5930,203,56,0,97,50,2024-03-31
분당구,구미동,승합,640,227,16,6,197,8,413,0,0,8,405,2024-03-31
분당구,구미동,화물,905,790,23,673,59,35,115,5,74,15,21,2024-03-31
분당구,구미동,특수,37,25,0,23,1,1,12,0,4,3,5,2024-03-31
분당구,운중동,승용,8469,8453,326,42,4750,3335,16,0,0,16,0,2024-03-31
분당구,운중동,승합,110,110,7,2,89,12,0,0,0,0,0,2024-03-31
분당구,운중동,화물,295,271,10,235,20,6,24,0,14,8,2,2024-03-31
분당구,운중동,특수,22,21,0,21,0,0,1,0,1,0,0,2024-03-31
분당구,대장동,승용,5873,5870,262,31,3431,2146,3,0,0,3,0,2024-03-31
분당구,대장동,승합,33,33,4,0,27,2,0,0,0,0,0,2024-03-31
분당구,대장동,화물,171,158,2,142,14,0,13,0,9,2,2,2024-03-31
분당구,대장동,특수,16,14,0,14,0,0,2,0,1,0,1,2024-03-31
분당구,석운동,승용,112,112,7,1,65,39,0,0,0,0,0,2024-03-31
분당구,석운동,승합,26,4,0,0,4,0,22,0,0,0,22,2024-03-31
분당구,석운동,화물,150,130,0,105,23,2,20,0,3,8,9,2024-03-31
분당구,석운동,특수,2,2,0,1,1,0,0,0,0,0,0,2024-03-31
분당구,하산운동,승용,56,56,3,2,23,28,0,0,0,0,0,2024-03-31
분당구,하산운동,승합,7,7,0,0,4,3,0,0,0,0,0,2024-03-31
분당구,하산운동,화물,12,12,2,5,4,1,0,0,0,0,0,2024-03-31
